˜Ï,ãæÌæÏ?,ProductId,QuantityId,CurrentQuantity
410019,30,,,
410020,40,,,
410021,30,,,
410022,50,,,
410026,50,,,
411235,12,,,
411236,12,,,
411237,36,,,
500101,6,,,
500156,1,,,
500157,3,,,
500158,2,,,
500307,3,,,
500331,4,,,
500332,3,,,
500333,6,,,
500335,6,,,
500338,6,,,
500339,6,,,
500346,6,,,
500450,2,,,
500516,1,,,
500517,2,,,
500518,2,,,
600037,1,,,
600302,1,,,
600314,1,,,
600357,1,,,
601312,1,,,
601313,1,,,
601320,1,,,
601353,1,,,
601363,1,,,
601364,1,,,
601449,1,,,
601501,1,,,
602046,5,,,
602049,5,,,
602302,1,,,
602303,1,,,
602400,1,,,
602509,1,,,
602539,3,,,
602713,1,,,
602715,1,,,
602718,1,,,
602832,1,,,
602846,1,,,
602878,1,,,
603410,1,,,
603411,1,,,
603412,1,,,
603413,1,,,
603414,1,,,
603535,1,,,
603537,1,,,
603538,1,,,
603539,1,,,
603540,1,,,
603544,1,,,
603703,1,,,
603851,1,,,
603853,1,,,
603854,1,,,
603856,1,,,
603857,1,,,
603858,1,,,
603859,1,,,
603860,1,,,
603861,1,,,
603862,1,,,
603863,1,,,
603864,1,,,
603865,1,,,
603867,1,,,
603868,1,,,
610006,3,,,
610073,3,,,
610380,2,,,
610430,3,,,
610512,3,,,
610571,1,,,
610615,3,,,
610635,3,,,
610636,2,,,
610637,3,,,
610640,2,,,
610650,3,,,
610653,3,,,
610663,3,,,
610664,3,,,
610690,2,,,
610691,3,,,
611030,1,,,
611031,1,,,
611036,2,,,
611055,5,,,
611058,2,,,
611060,1,,,
611061,2,,,
611062,2,,,
611131,5,,,
611134,2,,,
611139,2,,,
611141,2,,,
611142,1,,,
611152,5,,,
611189,3,,,
611193,3,,,
611194,3,,,
611307,1,,,
611400,1,,,
611412,1,,,
611413,5,,,
611421,3,,,
611426,4,,,
611489,2,,,
611503,10,,,
611532,10,,,
612233,3,,,
612234,3,,,
612239,2,,,
612240,2,,,
612242,2,,,
612243,1,,,
612307,3,,,
612309,2,,,
612310,3,,,
612311,2,,,
612312,3,,,
612313,2,,,
612315,3,,,
612316,3,,,
612317,3,,,
612357,1,,,
612360,2,,,
612361,1,,,
614041,1,,,
614042,2,,,
614044,1,,,
614050,1,,,
614051,1,,,
614054,1,,,
614058,1,,,
614090,2,,,
614091,2,,,
614092,2,,,
614093,2,,,
614094,2,,,
614097,2,,,
614146,2,,,
614321,5,,,
614322,5,,,
614323,5,,,
616100,3,,,
616102,3,,,
616109,3,,,
103254,24,,,
103254-1,6,,,
103254-2,6,,,
103254-3,12,,,
103254-4,12,,,
103255,48,,,
103255-1,12,,,
103255-2,12,,,
103255-3,12,,,
103255-4,12,,,
103255-5,12,,,
103255-6,12,,,
204023,4,,,
204023-1,3,,,
204023-2,3,,,
204023-3,4,,,
204023-4,3,,,
204092,6,,,
204092-1,1,,,
204092-2,3,,,
204094,4,,,
204094-1,2,,,
204094-2,2,,,
204094-3,1,,,
204094-4,1,,,
6269196600171,12,,,
6269196600027,12,,,
626919660096,12,,,
6269196600461,3,,,
6269196600492,30,,,
6269196600508,30,,,
6269196600522,15,,,
6269196600539,15,,,
6269196600751,30,,,
